難過	難受	傷心	痛苦
보어	0.0088	0.108	0.0525	0.0091
명사구중심	0.0022	0	0.0081	0.0165
명사성목적어	0.0419	0.0227	0.0263	0.3455
동사성목적어	0.1126	0.0966	0.0828	0.0165
주절서술어	0.6159	0.6572	0.3879	0.1152
관형어	0.0486	0.0398	0.1778	0.2486
부사어	0.0817	0.0152	0.1313	0.0786
술보술	0.0486	0.0379	0.0263	0.0055
전치사목적어	0	0.0019	0.0081	0.0695
명사성주어	0.0088	0.0095	0.0242	0.0914
종속절서술어	0.0309	0.0114	0.0747	0.0037
마음불편	0.0243	0.125	0	0
마음신체불편	0	0.0057	0	0
마음신체아픔	0	0.0057	0	0.1097
마음아픔	0.9625	0.5758	1	0.6947
신체불편	0.0088	0.0436	0	0
신체아픔	0.0044	0.2443	0	0.1956
발현체	0.0909	0.2857	0.0899	0.1544
야기물	0.0455	0	0.1236	0.0441
논리	0	0	0.0225	0
시공간	0.2273	0.0476	0.2022	0.0588
속성	0.0909	0.1429	0.0225	0
체험자	0.0455	0.0476	0.1348	0.0662
유발체	0.0909	0.2857	0.3596	0.5147
명사적	0	0	0.0112	0.0882
없음	0.4091	0.1905	0.0337	0.0735
소통생각	0.5946	0.28	0.25	0.2857
신체동작내부	0.027	0.48	0	0.2857
신체동작이동	0.1351	0.2	0.0972	0.119
울다통곡	0.1622	0	0.6111	0
추상	0.0811	0.04	0.0417	0.3095
극도의상태	0.1818	0.5238	0.55	0.45
울다	0.6364	0.1905	0.2	0.05
일반정도강조	0.1818	0.2857	0.25	0.5
과정상태	0.04	0	0.9231	0.4205
물리적원인	0.56	0.8571	0	0.0568
변화결과	0.08	0	0	0.0568
심리적원인	0.24	0.0714	0	0.2386
추상적원인	0.08	0.0714	0.0769	0.2273
精神	0	0	0	0.0091
肉体	0	0	0	0.0073
身	0.0022	0.0549	0	0
心	0.2185	0.2576	0.002	0.0439
무1	0.7792	0.6875	0.998	0.9397
유	0.1119	0.0313	0.0779	0.023
무2	0.8881	0.9687	0.9221	0.977
사역	0.0839	0.1292	0.1342	0.0692
기타	0.9161	0.8708	0.8658	0.9308
청유	0.1541	0.0259	0.0625	0.0159
일반	0.8459	0.9741	0.9375	0.9841


